Counter,First Element,Last Element,Time Elapsed,Queue Size
56800,27601,27800,0.0086725,0
57000,27801,28000,0.0082976,0
57200,28001,28200,0.0083152,0
57400,28201,28400,0.0086213,0
57600,28401,28600,0.0082689,0
57800,28601,28800,0.0085696,0
58000,28801,29000,0.0083225,0
58200,29001,29200,0.0083166,0
58400,29201,29400,0.0083398,0
58600,29401,29600,0.0083875,0
58800,29601,29800,0.0083625,0
59000,29801,30000,0.0084964,0
59200,30001,30200,0.0082821,0
59400,30201,30400,0.0084899,0
59600,30401,30600,0.0081384,0
59800,30601,30800,0.0084472,0
60000,30801,31000,0.0084536,0
60200,31001,31200,0.0083362,0
60400,31201,31400,0.0083549,0
60600,31401,31600,0.0084922,0
60800,31601,31800,0.0082692,0
61000,31801,32000,0.008513,0
61200,1,200,0.0082525,0
61400,201,400,0.0085666,0
61600,401,600,0.0086075,0
61800,601,800,0.0083103,0
62000,801,1000,0.0082889,0
62200,1001,1200,0.0082879,0
62400,1201,1400,0.0082802,0
62600,1401,1600,0.0083895,0
62800,1601,1800,0.0083915,0
63000,1801,2000,0.0082675,0
63200,2001,2200,0.0082364,0
63400,2201,2400,0.0084482,0
63600,2401,2600,0.0079523,0
63800,2601,2800,0.0083106,0
64000,2801,3000,0.0082133,0
64200,3001,3200,0.0083562,0
64400,3201,3400,0.0083304,0
64600,3401,3600,0.0085844,0
64800,3601,3800,0.0082749,0
65000,3801,4000,0.0083545,0
65200,4001,4200,0.0083527,0
65400,4201,4400,0.0083139,0
65600,4401,4600,0.0086254,0
65800,4601,4800,0.0082401,0
66000,4801,5000,0.0083162,0
66200,5001,5200,0.0085056,0
66400,5201,5400,0.0082015,0
66600,5401,5600,0.0083939,0
66800,5601,5800,0.0083866,0
67000,5801,6000,0.0082779,0
67200,6001,6200,0.0083736,0
67400,6201,6400,0.0083734,0
67600,6401,6600,0.0081725,0
67800,6601,6800,0.0085907,0
68000,6801,7000,0.0083832,0
68200,7001,7200,0.0083927,0
68400,7201,7400,0.0087452,0
68600,7401,7600,0.0080385,0
68800,7601,7800,0.0086907,0
69000,7801,8000,0.0082131,0
69200,8001,8200,0.0083152,0
69400,8201,8400,0.0083445,0
69600,8401,8600,0.0084535,0
69800,8601,8800,0.0082421,0
70000,8801,9000,0.0084958,0
70200,9001,9200,0.0081527,0
70400,9201,9400,0.0082744,0
70600,9401,9600,0.00839,0
70800,9601,9800,0.0084032,0
71000,9801,10000,0.0082596,0
71200,10001,10200,0.0085691,0
71400,10201,10400,0.0080539,0
71600,10401,10600,0.0084513,0
71800,10601,10800,0.0083673,0
72000,10801,11000,0.0082719,0
72200,11001,11200,0.0084508,0
72400,11201,11400,0.00831,0
72600,11401,11600,0.0082408,0
72800,11601,11800,0.0085348,0
73000,11801,12000,0.0081463,0
73200,12001,12200,0.0083484,0
73400,12201,12400,0.0085161,0
73600,12401,12600,0.0083839,0
73800,12601,12800,0.008372,0
74000,12801,13000,0.0085431,0
74200,13001,13200,0.0081188,0
74400,13201,13400,0.0082752,0
74600,13401,13600,0.0085747,0
74800,13601,13800,0.008172,0
75000,13801,14000,0.0084905,0
75200,14001,14200,0.0084638,0
75400,14201,14400,0.008218,0
75600,14401,14600,0.0084937,0
75800,14601,14800,0.0084282,0
76000,14801,15000,0.0082424,0
76200,15001,15200,0.008392,0
76400,15201,15400,0.0083482,0
76600,15401,15600,0.0081975,0
76800,15601,15800,0.0085138,0
77000,15801,16000,0.0081158,0
77200,16001,16200,0.0083859,0
77400,16201,16400,0.0084974,0
77600,16401,16600,0.0083801,0
77800,16601,16800,0.0084438,0
78000,16801,17000,0.0083533,0
78200,17001,17200,0.0082254,0
78400,17201,17400,0.0085042,0
78600,17401,17600,0.0082774,0
78800,17601,17800,0.0082715,0
79000,17801,18000,0.0085307,0
79200,18001,18200,0.0084996,0
79400,18201,18400,0.0081905,0
79600,18401,18600,0.0083043,0
79800,18601,18800,0.0083825,0
80000,18801,19000,0.0084645,0
80200,19001,19200,0.0083032,0
80400,19201,19400,0.0084236,0
80600,19401,19600,0.0082973,0
80800,19601,19800,0.0083526,0
81000,19801,20000,0.0082866,0
81200,20001,20200,0.0083842,0
81400,20201,20400,0.0083678,0
81600,20401,20600,0.0084816,0
81800,20601,20800,0.0082824,0
82000,20801,21000,0.0082014,0
82200,21001,21200,0.0081765,0
82400,21201,21400,0.0085623,0
82600,21401,21600,0.0082592,0
82800,21601,21800,0.0084077,0
83000,21801,22000,0.0083812,0
83200,22001,22200,0.0082517,0
83400,22201,22400,0.00847,0
83600,22401,22600,0.0083936,0
83800,22601,22800,0.0081565,0
84000,22801,23000,0.0085863,0
84200,23001,23200,0.0081923,0
84400,23201,23400,0.0083445,0
84600,23401,23600,0.0085684,0
84800,23601,23800,0.0083366,0
85000,23801,24000,0.0083684,0
85200,24001,24200,0.0085585,0
85400,24201,24400,0.0085763,0
85600,24401,24600,0.0084188,0
85800,24601,24800,0.0083105,0
86000,24801,25000,0.0085161,0
86200,25001,25200,0.0085919,0
86400,25201,25400,0.0083315,0
86600,25401,25600,0.0082394,0
86800,25601,25800,0.0085936,0
87000,25801,26000,0.0081438,0
87200,26001,26200,0.0082449,0
87400,26201,26400,0.0083154,0
87600,26401,26600,0.0083718,0
87800,26601,26800,0.0082412,0
88000,26801,27000,0.0084161,0
88200,27001,27200,0.0080878,0
88400,27201,27400,0.0084039,0
88600,27401,27600,0.0081913,0
88800,27601,27800,0.0084005,0
89000,27801,28000,0.0083454,0
89200,28001,28200,0.0082683,0
89400,28201,28400,0.0082067,0
89600,28401,28600,0.0084447,0
89800,28601,28800,0.0081305,0
90000,28801,29000,0.008442,0
90200,29001,29200,0.0085421,0
90400,29201,29400,0.0082136,0
90600,29401,29600,0.0082187,0
90800,29601,29800,0.0084482,0
91000,29801,30000,0.0081564,0
91200,30001,30200,0.0084754,0
91400,30201,30400,0.0084501,0
91600,30401,30600,0.0081479,0
91800,30601,30800,0.0084488,0
92000,30801,31000,0.0084094,0
92200,31001,31200,0.0081992,0
92400,31201,31400,0.0085604,0
92600,31401,31600,0.0081243,0
92800,31601,31800,0.0084038,0
93000,31801,32000,0.0082366,0
93200,1,200,0.0085584,0
93400,201,400,0.0082456,0
93600,401,600,0.0083468,0
93800,601,800,0.0083343,0
94000,801,1000,0.0084465,0
94200,1001,1200,0.0082641,0
94400,1201,1400,0.0082855,0
94600,1401,1600,0.0083746,0
94800,1601,1800,0.0085121,0
95000,1801,2000,0.0083035,0
95200,2001,2200,0.0085479,0
95400,2201,2400,0.0082092,0
95600,2401,2600,0.0084072,0
95800,2601,2800,0.0083074,0
96000,2801,3000,0.0084388,0
,,,0.00835741,
